,1,2,3,4,5
CAN,0,0,0,0,0
ARG,0,0,1,0,0
RUS,0,0,1,0,1
TLS,0,1,0,1,0
USA,0,0,0,0,0
ESP,0,1,0,1,0
IDN,0,1,1,0,0
CHN,1,0,0,0,0
GBR,0,1,0,0,1
MNE,0,0,1,1,0
DEU,0,0,0,0,0
CHE,0,0,0,0,0
GRL,0,1,1,1,1
NPL,0,1,1,1,1
MEX,0,1,0,0,1
SOM,0,1,0,0,1
CHL,0,1,1,0,0
FLK,0,0,0,0,1
JPN,0,0,0,0,0
ZAF,0,1,1,1,1
MRT,1,0,1,0,0
AUS,0,0,0,0,0
GRC,0,0,0,0,0
AUT,0,1,1,0,1
IND,0,1,1,1,1
DZA,0,0,1,1,0
ETH,1,1,1,1,1
TUN,1,1,0,0,1
KAZ,0,1,0,0,0
PNG,0,0,0,0,1
MDG,0,0,0,0,0
LBY,1,0,1,0,1
PHL,0,1,0,1,0
FIN,0,1,0,0,0
FRA,1,0,0,1,1
SAU,0,1,0,1,0
PRT,0,0,0,0,1
CUB,0,1,0,1,1
BGR,0,0,0,0,1
DNK,0,0,0,1,0
VUT,1,0,0,0,0
CPV,1,1,1,0,0
UZB,0,1,0,1,1
IRN,0,1,1,1,1
ERI,1,1,0,1,1
POL,1,1,0,0,0
BRA,0,1,1,1,1
BGD,1,1,1,1,1
HRV,0,1,0,0,0
TUR,0,1,0,1,1
SLB,0,0,0,1,0
NAM,0,0,0,0,0
ECU,0,0,1,1,1
COL,0,1,1,1,1
AGO,0,1,1,1,1
PER,0,0,1,1,1
VNM,0,1,0,1,1
SWE,0,0,1,1,0
NOR,0,0,0,0,0
CRI,0,1,1,1,1
COD,0,1,1,1,0
CMR,0,0,1,0,0
NGA,0,1,1,1,1
MNG,0,0,0,1,0
MYS,0,1,0,1,0
UKR,0,1,0,1,1
MMR,1,0,0,1,0
EGY,0,1,0,0,0
PAK,0,1,1,1,1
BOL,0,1,0,0,1
GTM,1,1,1,1,1
TWN,1,1,1,0,0
SVK,1,0,0,1,0
PYF,1,1,0,0,0
SUR,1,0,0,1,1
TTO,1,1,1,0,1
BHS,0,0,0,0,0
LTU,0,1,0,1,1
NZL,0,0,1,1,1
MOZ,0,1,0,0,0
LAO,0,0,0,1,1
TZA,1,1,1,1,0
THA,1,1,1,0,0
MHL,0,1,0,1,0
MAR,0,1,1,0,1
ROU,0,0,0,1,1
VEN,0,1,0,1,1
GIB,1,0,0,1,1
ITA,0,1,1,1,0
LBR,0,0,0,1,0
GUM,1,0,0,0,0
EST,0,0,1,1,0
PRY,0,0,0,0,0
ARM,0,1,1,1,0
KOR,1,0,1,1,0
BLR,1,1,0,1,0
NIU,1,1,0,1,0
ALB,0,0,0,0,1
IMN,1,1,1,0,0
MDV,0,1,1,0,0
ZMB,1,0,1,1,0
JOR,1,0,0,0,0
OMN,0,1,0,1,0
GMB,1,0,1,1,1
NCL,0,0,1,1,1
AZE,1,0,0,0,0
NLD,1,1,0,1,0
ANT,1,0,0,0,0
ARE,1,1,0,0,1
MDA,0,1,1,0,0
MWI,1,0,0,0,0
BWA,0,1,0,0,1
TJK,0,0,0,0,0
FJI,0,1,0,1,1
TUV,1,0,0,0,0
DOM,0,1,0,1,0
COM,1,0,0,0,1
KHM,0,0,0,1,0
BLZ,1,1,1,0,1
SSD,0,1,0,1,0
BRN,0,1,1,1,1
IRL,1,0,0,0,0
HUN,1,1,1,0,0
QAT,1,1,0,1,1
ISR,1,0,0,1,0
COK,1,0,0,0,1
YEM,0,1,0,1,1
TKM,0,1,0,0,1
PAN,1,0,0,0,1
LKA,1,1,0,0,1
KNA,0,0,0,1,0
REU,0,0,1,1,0
KIR,0,1,0,0,0
AFG,0,1,0,0,0
PRI,1,0,1,0,1
HND,1,1,0,1,1
CYM,1,1,1,1,0
SLE,1,0,1,0,0
RWA,0,1,1,1,0
ABW,1,1,1,1,0
IRQ,1,1,0,0,0
CYP,0,0,0,0,0
SRB,1,1,1,0,0
NFK,1,0,1,1,1
WLF,1,1,1,1,0
KEN,0,1,1,1,1
MNP,1,0,1,0,0
GNQ,1,0,0,1,1
LBN,1,1,1,1,0
FSM,0,1,1,0,1
HTI,0,1,0,1,0
SGP,1,1,1,0,0
SDN,0,0,1,1,1
BEL,0,0,0,1,1
LCA,0,0,0,0,1
HKG,1,0,1,1,1
BFA,0,1,0,0,1
MUS,1,0,0,0,1
CZE,1,0,0,1,0
ZWE,1,1,0,1,0
BMU,0,0,0,0,0
UGA,0,0,1,1,1
GRD,0,0,0,0,0
GAB,0,1,0,1,1
TCA,0,0,1,0,1
BDI,1,1,0,1,1
GHA,0,1,1,1,1
URY,1,1,0,0,0
KGZ,0,0,1,0,0
ISL,0,1,0,0,1
COG,0,0,0,0,1
MKD,1,0,0,0,1
TGO,1,0,0,1,0
SEN,1,1,0,0,1
CCK,0,0,1,1,0
TON,0,0,1,1,1
LVA,0,0,0,0,1
STP,0,0,0,1,0
GEO,0,0,0,0,1
SPM,1,1,1,0,0
VGB,0,0,0,0,0
NIC,1,0,0,0,0
BIH,0,1,1,1,0
ATG,1,0,0,0,1
MLT,0,0,1,1,0
TCD,0,0,0,1,1
MTQ,0,1,0,0,0
GIN,1,1,1,1,1
LSO,1,0,1,1,0
GGY,0,1,0,1,1
CXR,0,1,0,1,1
BTN,1,1,0,0,1
GUF,1,0,1,0,1
JAM,0,1,1,1,1
SWZ,0,1,0,0,0
MLI,1,0,1,0,1
JEY,1,0,1,0,1
GUY,0,1,0,1,0
BHR,0,0,1,0,1
FRO,0,0,1,0,0
GNB,0,0,0,1,0
ESH,0,1,0,0,0
SLV,0,0,1,0,0
BEN,0,1,0,1,1
SYC,1,1,1,0,0
MAC,1,1,0,0,0
LUX,1,0,0,0,0
CAF,0,0,1,1,1
WSM,0,1,0,1,1
BRB,0,0,1,1,1
ASM,1,1,0,0,1
CIV,0,1,1,1,0
SVN,1,1,0,0,1
NRU,0,0,1,0,0
KWT,0,0,0,0,0
DJI,1,1,1,1,0
PLW,0,0,0,0,0
AIA,1,1,0,1,1
DMA,0,0,0,1,1
VCT,1,0,0,0,1
